Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Japan,2010,Dengue,Parasitic,0.79,10.18,1.0,36-60,Male,807440.0,62.47,1.7,8.49,Vaccination,26771.0,No,73.06,1523.0,1.55,32712.0,0.73,67.04
Japan,2016,Rabies,Metabolic,0.35,5.73,6.89,0-18,Other,757237.0,90.81,1.39,7.55,Vaccination,4338.0,No,56.95,3700.0,1.11,17309.0,0.73,58.2
China,2023,Leprosy,Cardiovascular,0.3,8.53,7.37,19-35,Other,177190.0,69.59,2.96,1.48,Surgery,17091.0,No,76.26,4222.0,3.9,64798.0,0.8,52.36
France,2011,Dengue,Respiratory,0.46,3.4,0.31,19-35,Female,19560.0,70.69,2.58,2.59,Medication,39024.0,Yes,56.18,663.0,4.78,6488.0,0.58,79.08
China,2011,Polio,Respiratory,0.96,3.66,7.47,36-60,Other,939979.0,89.41,1.81,1.0,Therapy,39122.0,No,95.1,911.0,8.74,18456.0,0.87,40.92
Canada,2011,Measles,Parasitic,0.97,2.87,7.77,61+,Other,771017.0,77.09,3.45,9.32,Vaccination,45178.0,Yes,97.54,16.0,4.55,98488.0,0.81,33.38
Japan,2021,Hepatitis,Autoimmune,0.11,3.81,9.92,0-18,Other,283921.0,76.56,2.41,7.92,Surgery,6845.0,No,83.63,2055.0,6.13,12063.0,0.5,81.72
Italy,2014,Tuberculosis,Autoimmune,0.94,4.24,5.79,19-35,Male,363210.0,64.46,3.89,6.01,Vaccination,41327.0,Yes,86.25,2952.0,1.09,52544.0,0.41,80.34
France,2017,Covid-19,Cardiovascular,0.34,1.99,9.8,36-60,Female,310643.0,72.04,0.98,3.28,Therapy,4577.0,Yes,97.8,4780.0,8.29,10433.0,0.54,66.23
Mexico,2014,Cancer,Respiratory,0.19,7.99,4.42,19-35,Female,652659.0,97.42,0.9,4.83,Therapy,42879.0,Yes,60.68,4299.0,2.91,97276.0,0.81,34.25
South Korea,2023,Zika,Cardiovascular,0.93,9.29,7.65,19-35,Male,840677.0,55.18,3.31,3.65,Vaccination,22237.0,Yes,75.5,4719.0,7.99,49637.0,0.44,31.97
Italy,2014,Hiv/Aids,Respiratory,0.22,3.32,6.48,19-35,Other,240092.0,80.08,3.3,2.21,Surgery,28747.0,Yes,62.14,3389.0,9.99,3513.0,0.48,26.71
Italy,2017,Rabies,Viral,0.83,4.09,1.77,36-60,Female,166734.0,66.78,4.0,0.55,Vaccination,35074.0,No,65.96,1729.0,5.06,11889.0,0.62,60.46
Indonesia,2011,Hepatitis,Genetic,0.97,5.91,1.66,61+,Female,111823.0,58.56,4.27,4.14,Medication,23781.0,Yes,72.34,4647.0,3.68,58598.0,0.73,86.7
Uk,2022,Alzheimer'S Disease,Metabolic,0.25,11.07,9.39,19-35,Other,256514.0,77.67,3.88,0.99,Therapy,15187.0,Yes,76.99,4853.0,9.19,85253.0,0.47,26.77
Turkey,2015,Zika,Chronic,0.96,8.79,5.7,0-18,Other,334592.0,60.89,4.32,5.62,Vaccination,8853.0,No,88.69,770.0,1.17,47717.0,0.75,21.96
Turkey,2022,Cancer,Respiratory,0.6,12.5,8.15,61+,Female,938225.0,95.93,3.79,7.05,Vaccination,21531.0,Yes,60.88,1933.0,7.66,62737.0,0.87,34.6
China,2014,Hepatitis,Viral,0.15,9.18,2.34,0-18,Female,940400.0,68.6,4.71,9.15,Medication,26106.0,No,83.11,1733.0,4.65,27815.0,0.52,43.99
Canada,2024,Tuberculosis,Infectious,0.92,13.29,8.4,61+,Female,142243.0,53.57,3.39,7.23,Surgery,22177.0,Yes,97.15,2982.0,1.5,23468.0,0.75,88.08
France,2011,Influenza,Infectious,0.55,3.14,4.43,36-60,Female,617406.0,53.45,0.85,7.9,Vaccination,28796.0,No,94.29,2007.0,1.66,49757.0,0.79,32.46
Indonesia,2011,Cancer,Infectious,0.42,9.12,1.56,61+,Female,845235.0,73.34,1.39,2.69,Medication,27445.0,Yes,94.16,648.0,5.62,78262.0,0.51,37.45
France,2012,Malaria,Bacterial,0.37,13.79,1.49,36-60,Male,31312.0,56.89,1.49,0.64,Medication,6805.0,No,86.24,4340.0,5.47,23700.0,0.87,30.45
Brazil,2019,Diabetes,Autoimmune,1.0,1.04,1.46,19-35,Female,188608.0,78.05,4.94,7.99,Vaccination,15189.0,Yes,79.87,2249.0,2.71,6277.0,0.56,89.21
Argentina,2014,Influenza,Parasitic,0.12,9.89,3.99,36-60,Male,668992.0,57.64,1.02,1.62,Vaccination,15214.0,Yes,53.48,4485.0,2.36,14983.0,0.65,88.48
Brazil,2019,Measles,Respiratory,0.34,4.21,3.72,0-18,Female,642932.0,57.02,2.41,7.7,Vaccination,16676.0,Yes,89.38,4688.0,6.04,23315.0,0.66,42.89
Nigeria,2022,Leprosy,Cardiovascular,0.28,6.25,2.84,61+,Other,389178.0,90.83,4.97,4.99,Surgery,39024.0,No,65.49,3224.0,3.83,30152.0,0.68,84.92
Indonesia,2016,Malaria,Neurological,0.72,8.74,5.26,19-35,Female,228114.0,79.9,1.77,7.26,Vaccination,277.0,No,57.7,432.0,4.73,98237.0,0.77,39.16
Indonesia,2024,Measles,Metabolic,0.81,8.49,6.49,36-60,Other,979877.0,85.95,0.61,3.2,Therapy,33596.0,No,88.32,4735.0,4.33,56415.0,0.74,67.79
Italy,2015,Hepatitis,Neurological,0.79,13.82,1.49,19-35,Other,431700.0,64.35,3.99,4.94,Medication,17708.0,Yes,83.55,4232.0,5.72,17713.0,0.44,69.27
Uk,2022,Measles,Autoimmune,0.82,10.31,1.72,0-18,Other,936419.0,96.95,0.5,2.84,Therapy,43824.0,Yes,85.66,2846.0,3.41,73357.0,0.88,49.25
Brazil,2016,Rabies,Neurological,0.9,3.83,6.04,36-60,Male,705193.0,75.79,3.88,3.42,Therapy,21042.0,No,58.14,3815.0,0.83,88702.0,0.74,44.26
Saudi Arabia,2012,Alzheimer'S Disease,Metabolic,0.22,3.85,2.57,61+,Female,798325.0,75.61,2.92,2.48,Medication,9258.0,Yes,51.12,834.0,5.68,55091.0,0.74,70.08
Turkey,2020,Hiv/Aids,Autoimmune,0.34,9.43,5.99,19-35,Other,613491.0,58.96,2.06,6.08,Vaccination,24464.0,No,58.51,2283.0,4.9,78214.0,0.45,62.59
Canada,2021,Asthma,Autoimmune,0.78,3.5,9.66,19-35,Female,642013.0,64.4,0.71,1.3,Therapy,23662.0,No,65.5,3708.0,2.01,28644.0,0.87,22.84
Brazil,2018,Parkinson'S Disease,Neurological,0.18,13.64,0.76,19-35,Female,54158.0,83.25,1.09,3.94,Medication,9737.0,Yes,85.9,3525.0,6.42,7889.0,0.77,33.95
China,2011,Rabies,Bacterial,0.64,13.14,4.04,36-60,Male,716858.0,87.58,0.66,0.86,Surgery,43403.0,No,86.7,3422.0,6.25,98579.0,0.84,64.14
Japan,2014,Tuberculosis,Neurological,0.78,12.94,9.99,19-35,Male,252690.0,74.4,0.6,2.63,Medication,30508.0,No,72.14,2733.0,5.54,30673.0,0.76,67.95
Argentina,2019,Hypertension,Cardiovascular,0.65,1.55,7.9,19-35,Other,750594.0,60.32,3.6,5.21,Therapy,43469.0,No,86.94,3219.0,7.05,71823.0,0.78,47.76
India,2011,Diabetes,Viral,0.19,0.53,2.04,19-35,Female,712545.0,92.0,0.78,4.57,Surgery,21505.0,No,74.46,1003.0,6.32,77521.0,0.55,31.15
South Africa,2016,Parkinson'S Disease,Autoimmune,0.17,4.27,7.48,36-60,Other,73959.0,69.57,4.18,4.64,Therapy,9987.0,No,87.62,1483.0,7.39,95350.0,0.5,85.79
Russia,2020,Rabies,Infectious,0.82,1.46,5.31,0-18,Female,713650.0,75.19,1.73,8.2,Therapy,36083.0,No,59.54,789.0,4.29,38627.0,0.76,45.71
Canada,2024,Alzheimer'S Disease,Chronic,0.53,9.84,2.14,36-60,Other,127834.0,90.86,0.68,6.63,Medication,6825.0,No,89.75,333.0,3.49,75566.0,0.41,59.95
Canada,2017,Covid-19,Respiratory,0.56,13.26,1.3,0-18,Other,789046.0,88.23,1.66,3.44,Surgery,27777.0,No,78.32,4797.0,2.27,88968.0,0.49,25.08
Germany,2010,Dengue,Chronic,0.77,9.85,3.35,19-35,Male,704680.0,57.67,3.7,3.61,Therapy,12552.0,Yes,59.48,140.0,2.74,39593.0,0.44,53.55
Saudi Arabia,2019,Hepatitis,Cardiovascular,0.7,11.25,2.89,61+,Female,601090.0,55.29,2.93,4.51,Medication,237.0,No,80.57,3352.0,8.89,91620.0,0.83,47.78
Uk,2024,Measles,Neurological,0.93,1.96,2.78,61+,Male,980613.0,96.84,4.05,4.9,Therapy,15596.0,Yes,60.24,1037.0,9.48,15252.0,0.89,78.2
Uk,2017,Polio,Infectious,0.78,7.14,5.44,19-35,Other,745068.0,56.12,2.36,0.51,Surgery,41083.0,No,76.14,4196.0,4.92,48907.0,0.73,32.38
France,2021,Rabies,Genetic,0.11,13.24,4.9,36-60,Male,362299.0,72.18,0.68,5.76,Medication,17964.0,No,68.08,2957.0,6.66,88843.0,0.84,87.86
South Korea,2023,Alzheimer'S Disease,Parasitic,0.14,5.23,4.37,61+,Other,256953.0,79.96,1.05,8.98,Surgery,15226.0,No,92.0,1741.0,3.06,97802.0,0.59,76.42
Argentina,2024,Rabies,Cardiovascular,0.66,4.75,0.58,19-35,Female,787823.0,82.75,1.01,7.31,Therapy,26471.0,Yes,50.01,422.0,3.57,82968.0,0.68,72.75
India,2015,Measles,Autoimmune,0.39,12.11,1.83,19-35,Male,223679.0,90.6,4.27,8.59,Therapy,41701.0,No,65.96,1771.0,4.61,97071.0,0.61,57.31
Brazil,2021,Hypertension,Metabolic,0.36,5.99,4.59,61+,Female,263986.0,65.64,3.13,9.03,Surgery,21240.0,Yes,67.05,857.0,2.47,23941.0,0.73,38.6
France,2018,Hypertension,Chronic,0.4,5.92,0.6,61+,Female,752298.0,59.5,3.94,8.21,Surgery,38337.0,Yes,71.88,2481.0,4.18,66896.0,0.79,57.6
Italy,2011,Asthma,Respiratory,0.14,14.15,2.55,0-18,Male,601054.0,91.97,2.69,0.67,Vaccination,45197.0,No,87.65,3417.0,2.45,73801.0,0.45,23.4
France,2012,Zika,Neurological,0.35,11.43,2.13,61+,Other,537992.0,64.55,1.64,1.71,Medication,26594.0,Yes,77.53,1728.0,3.55,72483.0,0.78,65.88
Argentina,2015,Cholera,Bacterial,0.75,12.32,9.89,36-60,Female,728229.0,55.5,2.46,2.62,Medication,1171.0,No,77.15,2211.0,1.93,69661.0,0.73,83.44
France,2015,Tuberculosis,Autoimmune,1.0,9.05,5.61,0-18,Other,652897.0,56.68,4.69,8.98,Therapy,8581.0,Yes,72.35,244.0,7.99,19340.0,0.51,64.04
India,2021,Leprosy,Infectious,0.2,1.0,7.05,19-35,Female,309572.0,83.71,0.81,4.34,Medication,19934.0,No,90.73,4222.0,7.0,54471.0,0.41,57.11
Turkey,2024,Diabetes,Genetic,0.37,8.68,7.71,36-60,Male,763315.0,56.7,4.33,4.88,Surgery,18600.0,Yes,53.89,929.0,8.28,82343.0,0.83,32.52
Indonesia,2017,Hiv/Aids,Bacterial,0.58,6.53,7.67,61+,Female,387555.0,54.23,3.61,1.27,Surgery,21973.0,No,92.26,4086.0,0.07,50068.0,0.72,74.89
Japan,2022,Malaria,Infectious,0.67,6.36,8.91,61+,Female,673976.0,93.08,4.68,9.65,Therapy,41587.0,No,59.8,1256.0,7.68,99342.0,0.69,33.05
Italy,2019,Hiv/Aids,Parasitic,0.23,0.82,4.44,0-18,Female,626034.0,98.04,2.49,5.74,Surgery,7298.0,No,91.7,4898.0,3.08,35488.0,0.65,30.45
Italy,2024,Influenza,Neurological,0.3,5.1,9.69,36-60,Female,670746.0,97.56,4.41,2.91,Surgery,22987.0,No,63.85,3202.0,2.06,17015.0,0.82,58.56
Turkey,2017,Measles,Autoimmune,0.75,1.84,1.26,61+,Female,471361.0,52.13,3.0,3.34,Surgery,3652.0,Yes,71.26,3349.0,8.7,69478.0,0.53,52.07
South Africa,2020,Cholera,Respiratory,0.4,1.01,0.53,36-60,Other,492262.0,55.98,1.0,2.43,Therapy,4683.0,Yes,96.53,3081.0,9.98,66135.0,0.62,30.96
Japan,2024,Rabies,Chronic,0.74,3.41,0.66,19-35,Female,657457.0,90.39,2.75,4.73,Therapy,17227.0,Yes,79.93,3519.0,8.99,95512.0,0.42,63.94
Uk,2024,Zika,Respiratory,0.11,5.47,4.83,61+,Female,325010.0,99.74,2.72,0.89,Surgery,30939.0,Yes,92.27,3799.0,7.91,86651.0,0.54,63.03
Nigeria,2010,Covid-19,Respiratory,0.31,3.12,2.4,61+,Other,477972.0,94.33,0.85,5.59,Vaccination,48395.0,Yes,86.82,3833.0,6.78,74047.0,0.57,32.03
Saudi Arabia,2014,Hypertension,Infectious,0.25,3.77,5.61,36-60,Other,130958.0,72.31,2.34,6.82,Vaccination,9207.0,No,78.13,3269.0,1.53,19000.0,0.82,35.3
Brazil,2023,Tuberculosis,Bacterial,0.8,1.03,9.32,0-18,Female,727362.0,86.43,1.39,3.08,Therapy,39065.0,No,86.33,4957.0,7.56,86259.0,0.72,72.19
South Africa,2024,Hypertension,Autoimmune,0.27,9.53,7.03,19-35,Male,805820.0,73.55,1.12,3.42,Vaccination,4078.0,No,78.62,667.0,2.02,45315.0,0.69,52.6
France,2022,Hepatitis,Chronic,0.39,8.77,1.32,36-60,Other,565091.0,66.61,2.56,2.36,Surgery,37628.0,No,97.71,509.0,9.77,24550.0,0.71,41.97
Uk,2017,Tuberculosis,Cardiovascular,0.17,1.71,3.77,61+,Female,815063.0,85.84,3.55,3.05,Therapy,44071.0,Yes,98.09,2499.0,2.64,76815.0,0.66,34.18
Russia,2015,Polio,Chronic,0.22,13.21,9.98,61+,Other,433477.0,76.28,3.84,6.0,Medication,49862.0,No,56.99,1087.0,9.45,6289.0,0.51,27.42
Japan,2024,Measles,Genetic,0.47,3.48,4.97,19-35,Male,947411.0,53.84,1.45,2.17,Surgery,26880.0,No,82.47,2746.0,3.8,40447.0,0.78,84.4
Japan,2019,Tuberculosis,Parasitic,0.27,2.69,1.65,0-18,Male,957007.0,92.08,0.63,6.97,Medication,8068.0,Yes,64.01,1593.0,0.61,31448.0,0.42,36.13
Saudi Arabia,2014,Covid-19,Respiratory,0.89,14.11,5.66,61+,Female,133780.0,74.87,1.92,1.67,Therapy,25267.0,No,77.04,59.0,4.88,15318.0,0.51,33.61
China,2023,Diabetes,Metabolic,0.45,10.4,5.38,19-35,Other,711237.0,53.01,4.68,3.53,Surgery,10321.0,Yes,60.19,3841.0,7.42,51400.0,0.68,24.5
France,2013,Alzheimer'S Disease,Autoimmune,0.57,7.12,5.03,36-60,Male,583084.0,63.97,0.91,2.23,Vaccination,686.0,Yes,68.8,3014.0,3.5,14291.0,0.85,28.58
China,2015,Alzheimer'S Disease,Infectious,0.5,5.56,7.96,61+,Other,7642.0,82.75,2.18,1.84,Therapy,24400.0,Yes,60.95,4211.0,4.07,50182.0,0.76,41.97
Nigeria,2011,Hepatitis,Viral,0.74,6.05,1.07,36-60,Other,508546.0,97.75,4.46,4.04,Vaccination,20472.0,No,92.43,4266.0,9.89,8977.0,0.45,26.22
Australia,2012,Influenza,Genetic,0.72,6.04,7.53,36-60,Female,404713.0,93.05,0.83,6.86,Surgery,28404.0,Yes,97.01,3584.0,4.87,43448.0,0.46,39.99
Uk,2015,Malaria,Autoimmune,0.39,14.33,7.32,19-35,Other,552280.0,55.11,1.98,8.6,Therapy,24151.0,No,93.49,1353.0,3.52,16781.0,0.88,35.89
Usa,2021,Zika,Infectious,0.73,5.4,0.54,19-35,Male,297468.0,77.33,3.83,8.51,Therapy,8917.0,Yes,78.11,4714.0,9.58,98565.0,0.59,84.95
Indonesia,2016,Ebola,Respiratory,0.51,8.09,4.69,0-18,Male,908781.0,54.87,1.93,7.44,Therapy,11971.0,Yes,98.12,2959.0,3.84,53722.0,0.67,41.99
Nigeria,2010,Hypertension,Parasitic,0.42,10.85,0.33,36-60,Other,320990.0,59.85,3.47,2.93,Surgery,5256.0,No,74.25,2921.0,2.16,43497.0,0.51,84.38
Uk,2014,Asthma,Parasitic,0.88,9.14,3.36,0-18,Female,774230.0,52.29,3.12,1.12,Medication,17544.0,No,65.9,3327.0,2.1,28797.0,0.42,47.14
Turkey,2016,Asthma,Autoimmune,0.96,0.58,7.79,0-18,Other,113108.0,90.94,4.44,2.88,Surgery,30699.0,Yes,68.52,4523.0,4.4,31171.0,0.62,37.85
South Africa,2013,Polio,Infectious,0.39,9.76,2.76,19-35,Female,319442.0,50.81,1.81,4.41,Therapy,49342.0,No,87.21,255.0,2.87,83094.0,0.45,50.58
Usa,2010,Malaria,Bacterial,0.51,10.52,3.35,19-35,Other,354489.0,72.6,3.41,5.19,Medication,46876.0,No,94.52,3391.0,9.49,92462.0,0.9,20.69
South Korea,2018,Ebola,Genetic,0.54,3.58,2.16,0-18,Other,571622.0,64.95,0.94,4.14,Therapy,34501.0,Yes,74.8,2907.0,5.38,650.0,0.44,83.38
Indonesia,2020,Hypertension,Infectious,0.85,1.99,4.13,61+,Male,878885.0,77.52,2.19,7.96,Surgery,17078.0,No,66.32,1970.0,4.36,79088.0,0.81,87.46
Uk,2017,Malaria,Viral,0.65,13.51,5.87,61+,Male,631538.0,95.7,2.25,3.09,Surgery,16996.0,Yes,78.44,1194.0,7.67,67912.0,0.75,66.36
Mexico,2021,Hepatitis,Infectious,0.98,14.84,1.87,0-18,Male,313644.0,81.1,4.59,9.12,Surgery,47652.0,Yes,68.41,1697.0,2.04,88769.0,0.78,64.82
Turkey,2019,Hiv/Aids,Parasitic,0.15,1.9,1.64,19-35,Female,222334.0,80.05,3.33,1.04,Vaccination,45752.0,No,95.63,491.0,7.57,98283.0,0.6,65.17
Italy,2016,Leprosy,Viral,0.73,4.52,5.24,61+,Female,319088.0,87.82,3.78,2.99,Medication,3781.0,No,50.84,4822.0,5.46,81155.0,0.71,41.15
France,2017,Hiv/Aids,Metabolic,0.87,8.63,9.72,0-18,Other,902210.0,69.85,3.5,5.62,Vaccination,9247.0,Yes,83.22,2825.0,2.19,86152.0,0.63,32.53
South Africa,2022,Zika,Infectious,0.56,14.73,9.04,19-35,Female,817349.0,53.74,3.49,2.93,Medication,24124.0,No,63.82,3001.0,9.45,7662.0,0.79,42.82
Russia,2016,Rabies,Autoimmune,0.22,5.01,2.14,19-35,Female,229796.0,91.86,1.39,7.68,Vaccination,37313.0,No,88.81,33.0,5.9,87782.0,0.57,36.84
Argentina,2010,Asthma,Parasitic,0.16,12.16,0.54,61+,Male,414584.0,83.69,4.78,6.81,Vaccination,36889.0,Yes,90.14,809.0,6.14,55951.0,0.85,34.68
Indonesia,2014,Polio,Parasitic,0.89,13.67,4.06,61+,Other,147262.0,64.55,1.12,1.0,Surgery,34632.0,No,63.51,1864.0,1.88,56754.0,0.84,65.23
Australia,2019,Polio,Infectious,0.67,11.89,1.89,19-35,Female,989571.0,76.18,3.29,6.8,Surgery,48678.0,Yes,79.59,1271.0,8.24,13539.0,0.44,61.49
Germany,2024,Cancer,Respiratory,0.28,0.86,3.43,61+,Male,259884.0,95.18,2.44,1.17,Medication,23130.0,Yes,71.7,418.0,8.29,7669.0,0.41,87.86
Canada,2013,Zika,Cardiovascular,1.0,7.44,8.84,61+,Male,873874.0,85.97,1.34,6.26,Therapy,44526.0,No,97.24,980.0,7.51,85297.0,0.49,39.39
Canada,2014,Rabies,Parasitic,0.22,2.4,8.27,36-60,Female,779295.0,93.66,4.96,3.59,Medication,29241.0,Yes,82.08,48.0,6.09,97783.0,0.52,25.55
Usa,2017,Parkinson'S Disease,Respiratory,0.24,10.44,0.38,61+,Other,607834.0,77.44,0.72,4.79,Surgery,22719.0,Yes,92.56,2522.0,5.55,35672.0,0.69,54.45
India,2012,Diabetes,Viral,0.39,3.38,4.74,36-60,Male,682452.0,55.17,5.0,4.45,Medication,41315.0,Yes,79.38,4014.0,9.59,61248.0,0.83,29.17
Argentina,2023,Tuberculosis,Parasitic,0.84,5.09,2.59,61+,Female,884801.0,76.51,1.64,1.84,Vaccination,19420.0,Yes,98.68,2678.0,7.21,5049.0,0.76,71.06
France,2024,Tuberculosis,Parasitic,0.66,5.94,2.58,0-18,Female,500007.0,84.77,2.99,9.95,Medication,12746.0,No,86.37,98.0,2.55,79888.0,0.82,51.96
India,2021,Diabetes,Neurological,0.2,8.18,0.81,19-35,Other,63836.0,65.35,4.07,0.91,Therapy,8434.0,No,77.69,588.0,2.9,39158.0,0.63,68.84
Uk,2019,Influenza,Genetic,0.17,11.44,6.47,61+,Other,121379.0,87.06,2.04,3.11,Therapy,22697.0,Yes,68.51,1515.0,4.82,67143.0,0.76,44.89
Italy,2024,Dengue,Neurological,0.41,7.14,9.49,36-60,Other,403660.0,74.63,2.69,9.49,Surgery,35545.0,Yes,93.57,620.0,1.71,77535.0,0.45,75.39
Japan,2016,Ebola,Respiratory,0.52,6.03,3.2,0-18,Other,640548.0,61.43,1.84,9.68,Vaccination,12959.0,Yes,65.0,2676.0,8.71,39984.0,0.53,46.22
Uk,2017,Leprosy,Genetic,0.52,10.64,6.57,36-60,Female,916792.0,51.31,3.08,1.61,Medication,33606.0,No,65.9,775.0,1.28,44306.0,0.79,38.05
Indonesia,2019,Covid-19,Neurological,0.99,4.1,9.01,19-35,Other,600231.0,95.94,1.37,9.14,Vaccination,46269.0,Yes,97.64,4637.0,7.32,74192.0,0.73,83.43
Mexico,2020,Ebola,Chronic,0.61,12.14,0.31,19-35,Female,936988.0,70.5,3.78,5.13,Surgery,4568.0,No,83.83,4946.0,5.73,58935.0,0.81,44.12
South Korea,2016,Covid-19,Genetic,0.35,4.24,4.63,36-60,Female,140332.0,80.98,1.85,9.04,Medication,5043.0,Yes,78.63,3665.0,4.49,89487.0,0.56,30.07
Indonesia,2013,Diabetes,Viral,0.97,4.01,8.07,0-18,Male,104363.0,55.85,0.86,6.53,Surgery,14734.0,No,91.29,3460.0,0.11,30540.0,0.83,52.61
Uk,2016,Cholera,Autoimmune,0.81,0.2,9.44,19-35,Other,468772.0,81.72,4.6,3.52,Therapy,26702.0,No,61.02,4303.0,3.89,5794.0,0.56,43.89
Russia,2020,Hypertension,Metabolic,0.74,8.54,8.37,36-60,Other,693362.0,83.8,1.01,7.46,Vaccination,20195.0,Yes,92.76,2899.0,7.55,76793.0,0.89,31.06
